dataset,setting,softness,system,measurement
d1,no-context,strict,ChatGPT,0.14654088050314500
d2,no-context,strict,ChatGPT,0.4404761904761910
d3,no-context,strict,ChatGPT,0.25
d4,no-context,strict,ChatGPT,1.0
d5,no-context,strict,ChatGPT,0.4181818181818180
d6,no-context,strict,ChatGPT,0.7703703703703710
d7,no-context,strict,ChatGPT,0.75
d8,no-context,strict,ChatGPT,0.9000000000000000
d9,no-context,strict,ChatGPT,0.231578947368421
d10,no-context,strict,ChatGPT,0.31176470588235300
d1,no-context,strict,GoogleBard,-0.6048888888888890
d2,no-context,strict,GoogleBard,0.1428571428571430
d3,no-context,strict,GoogleBard,0.6416666666666670
d4,no-context,strict,GoogleBard,1.0
d5,no-context,strict,GoogleBard,-0.9615384615384620
d6,no-context,strict,GoogleBard,0.7703703703703710
d7,no-context,strict,GoogleBard,0.7916666666666670
d8,no-context,strict,GoogleBard,0.41000000000000000
d9,no-context,strict,GoogleBard,-1.1789473684210500
d10,no-context,strict,GoogleBard,0.04666666666666670
d1,no-context,strict,GoogleGemini,0.8653594771241820
d2,no-context,strict,GoogleGemini,0.7857142857142850
d3,no-context,strict,GoogleGemini,1.0
d4,no-context,strict,GoogleGemini,1.0
d5,no-context,strict,GoogleGemini,0.0727272727272727
d6,no-context,strict,GoogleGemini,1.0
d7,no-context,strict,GoogleGemini,1.0
d8,no-context,strict,GoogleGemini,1.0
d9,no-context,strict,GoogleGemini,0.7157894736842110
d10,no-context,strict,GoogleGemini,0.6215686274509800
d1,context,strict,ChatGPT,0.06054421768707480
d2,context,strict,ChatGPT,0.8523809523809520
d3,context,strict,ChatGPT,0.175
d4,context,strict,ChatGPT,1.0
d5,context,strict,ChatGPT,0.1
d6,context,strict,ChatGPT,0.6666666666666660
d7,context,strict,ChatGPT,0.48333333333333300
d8,context,strict,ChatGPT,0.7888888888888890
d9,context,strict,ChatGPT,0.0052631578947368400
d10,context,strict,ChatGPT,0.5137254901960780
d1,context,strict,GoogleGemini,0.6808641975308640
d2,context,strict,GoogleGemini,1.0
d3,context,strict,GoogleGemini,0.625
d4,context,strict,GoogleGemini,-0.6666666666666670
d5,context,strict,GoogleGemini,0.9242424242424250
d6,context,strict,GoogleGemini,0.07407407407407410
d7,context,strict,GoogleGemini,0.25
d8,context,strict,GoogleGemini,0.6740740740740750
d9,context,strict,GoogleGemini,0.8894736842105270
d10,context,strict,GoogleGemini,0.853921568627451
d1,no-context,soft,ChatGPT,0.4522012578616350
d2,no-context,soft,ChatGPT,0.5928571428571430
d3,no-context,soft,ChatGPT,0.25
d4,no-context,soft,ChatGPT,1.0
d5,no-context,soft,ChatGPT,0.4848484848484850
d6,no-context,soft,ChatGPT,0.8
d7,no-context,soft,ChatGPT,0.925
d8,no-context,soft,ChatGPT,0.9333333333333340
d9,no-context,soft,ChatGPT,0.8824561403508770
d10,no-context,soft,ChatGPT,0.7137254901960780
d1,no-context,soft,GoogleBard,-0.5455555555555560
d2,no-context,soft,GoogleBard,0.3428571428571430
d3,no-context,soft,GoogleBard,0.6416666666666670
d4,no-context,soft,GoogleBard,1.0
d5,no-context,soft,GoogleBard,-0.9615384615384620
d6,no-context,soft,GoogleBard,0.7703703703703710
d7,no-context,soft,GoogleBard,0.7916666666666670
d8,no-context,soft,GoogleBard,0.41000000000000000
d9,no-context,soft,GoogleBard,-0.9964912280701750
d10,no-context,soft,GoogleBard,0.05523809523809520
d1,no-context,soft,GoogleGemini,0.8653594771241820
d2,no-context,soft,GoogleGemini,0.7857142857142850
d3,no-context,soft,GoogleGemini,1.0
d4,no-context,soft,GoogleGemini,1.0
d5,no-context,soft,GoogleGemini,0.22424242424242400
d6,no-context,soft,GoogleGemini,1.0
d7,no-context,soft,GoogleGemini,1.0
d8,no-context,soft,GoogleGemini,1.0
d9,no-context,soft,GoogleGemini,1.0
d10,no-context,soft,GoogleGemini,0.8264705882352940
d1,context,soft,ChatGPT,0.3374149659863950
d2,context,soft,ChatGPT,0.8523809523809520
d3,context,soft,ChatGPT,0.175
d4,context,soft,ChatGPT,1.0
d5,context,soft,ChatGPT,0.36666666666666700
d6,context,soft,ChatGPT,0.7037037037037030
d7,context,soft,ChatGPT,0.6833333333333330
d8,context,soft,ChatGPT,0.9666666666666670
d9,context,soft,ChatGPT,0.8929824561403510
d10,context,soft,ChatGPT,0.8705882352941180
d1,context,soft,GoogleGemini,0.6808641975308640
d2,context,soft,GoogleGemini,1.0
d3,context,soft,GoogleGemini,0.625
d4,context,soft,GoogleGemini,-0.6666666666666670
d5,context,soft,GoogleGemini,0.9242424242424250
d6,context,soft,GoogleGemini,0.07407407407407410
d7,context,soft,GoogleGemini,0.25
d8,context,soft,GoogleGemini,0.6740740740740750
d9,context,soft,GoogleGemini,0.8894736842105270
d10,context,soft,GoogleGemini,0.853921568627451