context,system,softness,dataset,unassigned_count,wrong_assigned_count,general_terms_count,specific_terms_count,other_terms_count
no-context,ChatGPT,strict,Education_expenditure_and_indicators.csv,0.05660377358490570,0.01509433962264150,0.2641509433962260,0.6094339622641510,0.013207547169811300
no-context,ChatGPT,strict,Health_expectancy.csv,0.0,0.03571428571428570,0.75,0.17857142857142900,0.0
no-context,ChatGPT,strict,Listed_monuments.csv,0.0,0.25,0.75,0.0,0.0
no-context,ChatGPT,strict,Livestock.csv,0.0,0.0,0.0,1.0,0.0
no-context,ChatGPT,strict,Milk_supply_and_dairy_production.csv,0.0,0.0,0.16363636363636400,0.8363636363636360,0.0
no-context,ChatGPT,strict,Mobility.csv,0.0,0.0,0.4777777777777780,0.5222222222222220,0.0
no-context,ChatGPT,strict,Plant_protection_products.csv,0.0,0.0,0.1,0.675,0.225
no-context,ChatGPT,strict,Population_dynamics.csv,0.0,0.0,0.45555555555555600,0.5444444444444440,0.0
no-context,ChatGPT,strict,Social_security.csv,0.0,0.0,0.6631578947368420,0.3368421052631580,0.0
no-context,ChatGPT,strict,Trade_and_industry.csv,0.0,0.0,0.5470588235294120,0.45294117647058800,0.0
no-context,GoogleBard,strict,Education_expenditure_and_indicators.csv,0.0,0.314,0.116,0.272,0.012
no-context,GoogleBard,strict,Health_expectancy.csv,0.0,0.05,0.5357142857142860,0.3,0.09285714285714290
no-context,GoogleBard,strict,Listed_monuments.csv,0.0,0.0,0.575,0.0,0.425
no-context,GoogleBard,strict,Livestock.csv,0.0,0.0,0.0,1.0,0.0
no-context,GoogleBard,strict,Milk_supply_and_dairy_production.csv,0.15384615384615400,0.35384615384615400,0.0,0.007692307692307690,0.14615384615384600
no-context,GoogleBard,strict,Mobility.csv,0.0,0.011111111111111100,0.5666666666666670,0.14444444444444400,0.17777777777777800
no-context,GoogleBard,strict,Plant_protection_products.csv,0.0,0.0,0.0,0.375,0.625
no-context,GoogleBard,strict,Population_dynamics.csv,0.1,0.06,0.55,0.2,0.05
no-context,GoogleBard,strict,Social_security.csv,0.0,0.4263157894736840,0.0,0.0,0.05263157894736840
no-context,GoogleBard,strict,Trade_and_industry.csv,0.07142857142857140,0.0,0.05714285714285710,0.44857142857142900,0.4228571428571430
no-context,GoogleGemini,strict,Education_expenditure_and_indicators.csv,0.021568627450980400,0.0,0.9254901960784310,0.03137254901960780,0.021568627450980400
no-context,GoogleGemini,strict,Health_expectancy.csv,0.0,0.07142857142857140,0.7857142857142860,0.07142857142857140,0.07142857142857140
no-context,GoogleGemini,strict,Listed_monuments.csv,0.0,0.0,0.75,0.0,0.25
no-context,GoogleGemini,strict,Livestock.csv,0.0,0.0,0.0,0.6666666666666670,0.3333333333333330
no-context,GoogleGemini,strict,Milk_supply_and_dairy_production.csv,0.0,0.06363636363636360,0.09090909090909090,0.18181818181818200,0.09090909090909090
no-context,GoogleGemini,strict,Mobility.csv,0.0,0.0,0.7777777777777780,0.1111111111111110,0.1111111111111110
no-context,GoogleGemini,strict,Plant_protection_products.csv,0.0,0.0,0.0,0.25,0.75
no-context,GoogleGemini,strict,Population_dynamics.csv,0.0,0.0,0.6666666666666670,0.3333333333333330,0.0
no-context,GoogleGemini,strict,Social_security.csv,0.0,0.0,0.0,0.9473684210526320,0.05263157894736840
no-context,GoogleGemini,strict,Trade_and_industry.csv,0.0,0.0,0.2852941176470590,0.34411764705882400,0.37058823529411800
context,ChatGPT,strict,Education_expenditure_and_indicators.csv,0.053061224489795900,0.0020408163265306100,0.3836734693877550,0.5387755102040820,0.004081632653061230
context,ChatGPT,strict,Health_expectancy.csv,0.0,0.0,0.9071428571428570,0.02857142857142860,0.06428571428571430
context,ChatGPT,strict,Listed_monuments.csv,0.0,0.25,0.525,0.225,0.0
context,ChatGPT,strict,Livestock.csv,0.0,0.0,0.0,1.0,0.0
context,ChatGPT,strict,Milk_supply_and_dairy_production.csv,0.0,0.0,0.7,0.24545454545454500,0.05454545454545450
context,ChatGPT,strict,Mobility.csv,0.0,0.011111111111111100,0.4888888888888890,0.26666666666666700,0.13333333333333300
context,ChatGPT,strict,Plant_protection_products.csv,0.0,0.0,0.175,0.8,0.025
context,ChatGPT,strict,Population_dynamics.csv,0.0,0.0,0.6555555555555560,0.34444444444444400,0.0
context,ChatGPT,strict,Social_security.csv,0.0,0.0,0.5,0.48947368421052600,0.010526315789473700
context,ChatGPT,strict,Trade_and_industry.csv,0.0,0.0,0.6285714285714290,0.34285714285714300,0.02857142857142860
context,GoogleGemini,strict,Education_expenditure_and_indicators.csv,0.07222222222222220,0.0,0.7962962962962960,0.10185185185185200,0.02962962962962960
context,GoogleGemini,strict,Health_expectancy.csv,0.0,0.0,0.8571428571428570,0.0,0.14285714285714300
context,GoogleGemini,strict,Listed_monuments.csv,0.0,0.05,0.275,0.0,0.225
context,GoogleGemini,strict,Livestock.csv,0.0,0.3,0.0,0.0,0.0
context,GoogleGemini,strict,Milk_supply_and_dairy_production.csv,0.0,0.0,0.0,0.9545454545454550,0.045454545454545500
context,GoogleGemini,strict,Mobility.csv,0.0,0.16666666666666700,0.3333333333333330,0.0,0.1111111111111110
context,GoogleGemini,strict,Plant_protection_products.csv,0.0,0.25,0.0,0.25,0.5
context,GoogleGemini,strict,Population_dynamics.csv,0.0,0.08888888888888890,0.5555555555555560,0.2222222222222220,0.1111111111111110
context,GoogleGemini,strict,Social_security.csv,0.0,0.0,0.0,0.9473684210526320,0.05263157894736840
context,GoogleGemini,strict,Trade_and_industry.csv,0.0,0.0,0.8558823529411760,0.0,0.14411764705882400
no-context,ChatGPT,soft,Education_expenditure_and_indicators.csv,0.05660377358490570,0.01509433962264150,0.8735849056603770,0.0,0.013207547169811300
no-context,ChatGPT,soft,Health_expectancy.csv,0.0,0.03571428571428570,0.9285714285714290,0.0,0.0
no-context,ChatGPT,soft,Listed_monuments.csv,0.0,0.25,0.75,0.0,0.0
no-context,ChatGPT,soft,Livestock.csv,0.0,0.0,1.0,0.0,0.0
no-context,ChatGPT,soft,Milk_supply_and_dairy_production.csv,0.0,0.0,1.0,0.0,0.0
no-context,ChatGPT,soft,Mobility.csv,0.0,0.0,1.0,0.0,0.0
no-context,ChatGPT,soft,Plant_protection_products.csv,0.0,0.0,0.775,0.0,0.225
no-context,ChatGPT,soft,Population_dynamics.csv,0.0,0.0,1.0,0.0,0.0
no-context,ChatGPT,soft,Social_security.csv,0.0,0.0,1.0,0.0,0.0
no-context,ChatGPT,soft,Trade_and_industry.csv,0.0,0.0,1.0,0.0,0.0
no-context,GoogleBard,soft,Education_expenditure_and_indicators.csv,0.0,0.314,0.388,0.0,0.012
no-context,GoogleBard,soft,Health_expectancy.csv,0.0,0.05,0.8357142857142860,0.0,0.09285714285714290
no-context,GoogleBard,soft,Listed_monuments.csv,0.0,0.0,0.575,0.0,0.425
no-context,GoogleBard,soft,Livestock.csv,0.0,0.0,1.0,0.0,0.0
no-context,GoogleBard,soft,Milk_supply_and_dairy_production.csv,0.15384615384615400,0.35384615384615400,0.007692307692307690,0.0,0.14615384615384600
no-context,GoogleBard,soft,Mobility.csv,0.0,0.011111111111111100,0.7111111111111110,0.0,0.17777777777777800
no-context,GoogleBard,soft,Plant_protection_products.csv,0.0,0.0,0.375,0.0,0.625
no-context,GoogleBard,soft,Population_dynamics.csv,0.1,0.06,0.75,0.0,0.05
no-context,GoogleBard,soft,Social_security.csv,0.0,0.4263157894736840,0.0,0.0,0.05263157894736840
no-context,GoogleBard,soft,Trade_and_industry.csv,0.07142857142857140,0.0,0.5057142857142860,0.0,0.4228571428571430
no-context,GoogleGemini,soft,Education_expenditure_and_indicators.csv,0.021568627450980400,0.0,0.9568627450980390,0.0,0.021568627450980400
no-context,GoogleGemini,soft,Health_expectancy.csv,0.0,0.07142857142857140,0.8571428571428570,0.0,0.07142857142857140
no-context,GoogleGemini,soft,Listed_monuments.csv,0.0,0.0,0.75,0.0,0.25
no-context,GoogleGemini,soft,Livestock.csv,0.0,0.0,0.6666666666666670,0.0,0.3333333333333330
no-context,GoogleGemini,soft,Milk_supply_and_dairy_production.csv,0.0,0.06363636363636360,0.2727272727272730,0.0,0.09090909090909090
no-context,GoogleGemini,soft,Mobility.csv,0.0,0.0,0.8888888888888890,0.0,0.1111111111111110
no-context,GoogleGemini,soft,Plant_protection_products.csv,0.0,0.0,0.25,0.0,0.75
no-context,GoogleGemini,soft,Population_dynamics.csv,0.0,0.0,1.0,0.0,0.0
no-context,GoogleGemini,soft,Social_security.csv,0.0,0.0,0.9473684210526320,0.0,0.05263157894736840
no-context,GoogleGemini,soft,Trade_and_industry.csv,0.0,0.0,0.6294117647058820,0.0,0.37058823529411800
context,ChatGPT,soft,Education_expenditure_and_indicators.csv,0.053061224489795900,0.0020408163265306100,0.9224489795918370,0.0,0.004081632653061230
context,ChatGPT,soft,Health_expectancy.csv,0.0,0.0,0.9357142857142860,0.0,0.06428571428571430
context,ChatGPT,soft,Listed_monuments.csv,0.0,0.25,0.75,0.0,0.0
context,ChatGPT,soft,Livestock.csv,0.0,0.0,1.0,0.0,0.0
context,ChatGPT,soft,Milk_supply_and_dairy_production.csv,0.0,0.0,0.9454545454545450,0.0,0.05454545454545450
context,ChatGPT,soft,Mobility.csv,0.0,0.011111111111111100,0.7555555555555560,0.0,0.13333333333333300
context,ChatGPT,soft,Plant_protection_products.csv,0.0,0.0,0.975,0.0,0.025
context,ChatGPT,soft,Population_dynamics.csv,0.0,0.0,1.0,0.0,0.0
context,ChatGPT,soft,Social_security.csv,0.0,0.0,0.9894736842105260,0.0,0.010526315789473700
context,ChatGPT,soft,Trade_and_industry.csv,0.0,0.0,0.9714285714285710,0.0,0.02857142857142860
context,GoogleGemini,soft,Education_expenditure_and_indicators.csv,0.07222222222222220,0.0,0.8981481481481480,0.0,0.02962962962962960
context,GoogleGemini,soft,Health_expectancy.csv,0.0,0.0,0.8571428571428570,0.0,0.14285714285714300
context,GoogleGemini,soft,Listed_monuments.csv,0.0,0.05,0.275,0.0,0.225
context,GoogleGemini,soft,Livestock.csv,0.0,0.3,0.0,0.0,0.0
context,GoogleGemini,soft,Milk_supply_and_dairy_production.csv,0.0,0.0,0.9545454545454550,0.0,0.045454545454545500
context,GoogleGemini,soft,Mobility.csv,0.0,0.16666666666666700,0.3333333333333330,0.0,0.1111111111111110
context,GoogleGemini,soft,Plant_protection_products.csv,0.0,0.25,0.25,0.0,0.5
context,GoogleGemini,soft,Population_dynamics.csv,0.0,0.08888888888888890,0.7777777777777780,0.0,0.1111111111111110
context,GoogleGemini,soft,Social_security.csv,0.0,0.0,0.9473684210526320,0.0,0.05263157894736840
context,GoogleGemini,soft,Trade_and_industry.csv,0.0,0.0,0.8558823529411760,0.0,0.14411764705882400